チョコ	チョコ食べたい
文科	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
東京大学	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
文学部	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
卒業	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
東京	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった|東京に大雪の降った夜でした自分は酔って銀座裏をここはお国を何百里ここはお国を何百里と小声で繰り返し繰り返し呟くように歌いながらなおも降りつもる雪を靴先で蹴散らして歩いて突然吐きましたそれは自分の最初の喀血でした雪の上に大きい日の丸の旗が出来ました自分はしばらくしゃがんでそれからよごれていない個所の雪を両手で掬い取って顔を洗いながら泣きました|ここへ来たのは初夏の頃で鉄の格子の窓から病院の庭の小さい池に紅い睡蓮の花が咲いているのが見えましたがそれから三つき経ち庭にコスモスが咲きはじめ思いがけなく故郷の長兄がヒラメを連れて自分を引き取りにやって来て父が先月末に胃潰瘍でなくなったこと自分たちはもうお前の過去は問わぬ生活の心配もかけないつもり何もしなくていいその代りいろいろ未練もあるだろうがすぐに東京から離れて田舎で療養生活をはじめてくれお前が東京でしでかした事の後仕末はだいたい渋田がやってくれた筈だからそれは気にしないでいいとれいの生真面目な緊張したような口調で言うのでした
高等	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
師範	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
学校	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
松山	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
中学	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
教師	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった
生活	慶応3年1月5日新暦2月9日江戸牛込馬場下横町に生まれる本名は夏目金之助帝国大学文科大学東京大学文学部を卒業後東京高等師範学校松山中学第五高等学校などの教師生活を経て1900年イギリスに留学する帰国後第一高等学校で教鞭をとりながら1905年処女作吾輩は猫であるを発表1906年坊っちゃん草枕を発表1907年教職を辞し朝日新聞社に入社そして虞美人草三四郎などを発表するが胃病に苦しむようになる1916年12月9日明暗の連載途中に胃潰瘍で永眠享年50歳であった|ここへ来たのは初夏の頃で鉄の格子の窓から病院の庭の小さい池に紅い睡蓮の花が咲いているのが見えましたがそれから三つき経ち庭にコスモスが咲きはじめ思いがけなく故郷の長兄がヒラメを連れて自分を引き取りにやって来て父が先月末に胃潰瘍でなくなったこと自分たちはもうお前の過去は問わぬ生活の心配もかけないつもり何もしなくていいその代りいろいろ未練もあるだろうがすぐに東京から離れて田舎で療養生活をはじめてくれお前が東京でしでかした事の後仕末はだいたい渋田がやってくれた筈だからそれは気にしないでいいとれいの生真面目な緊張したような口調で言うのでした
